Page total likes,Type,Category,Post Month,Post Weekday,Post Hour,Paid,like
139441,Photo,2,12,4,3,0.0,79.0
139441,Status,2,12,3,10,0.0,130.0
139441,Photo,3,12,3,3,0.0,66.0
139441,Photo,2,12,2,10,1.0,1572.0
139441,Photo,2,12,2,3,0.0,325.0
139441,Status,2,12,1,9,0.0,152.0
139441,Photo,3,12,1,3,1.0,249.0
139441,Photo,3,12,7,9,1.0,325.0
139441,Status,2,12,7,3,0.0,161.0
139441,Photo,3,12,6,10,0.0,113.0
139441,Status,2,12,5,10,0.0,233.0
139441,Photo,2,12,5,10,0.0,88.0
139441,Photo,2,12,5,10,0.0,90.0
139441,Photo,2,12,5,3,0.0,137.0
138414,Photo,2,12,4,5,1.0,577.0
138414,Status,2,12,3,10,0.0,86.0
138414,Photo,3,12,3,3,0.0,40.0
138414,Photo,1,12,2,12,1.0,678.0
138414,Status,3,12,2,3,0.0,54.0
138414,Photo,3,12,1,11,0.0,34.0
138414,Photo,2,12,1,3,0.0,66.0
138414,Photo,1,12,7,10,0.0,0.0
138414,Link,1,12,7,10,0.0,16.0
138414,Photo,3,12,7,3,0.0,72.0
138414,Status,2,12,6,10,0.0,99.0
138458,Status,2,12,6,3,0.0,88.0
138458,Status,2,12,5,11,0.0,412.0
138458,Photo,3,12,5,3,0.0,100.0
138895,Photo,2,12,5,3,0.0,523.0
138895,Video,1,12,4,11,1.0,143.0
138895,Photo,2,12,4,2,0.0,107.0
138895,Photo,2,12,3,10,0.0,27.0
138895,Photo,3,12,3,3,0.0,155.0
138895,Photo,3,12,2,9,0.0,98.0
138895,Photo,1,12,2,3,0.0,56.0
138895,Photo,2,12,1,11,0.0,172.0
138895,Photo,3,12,1,3,0.0,96.0
138895,Photo,1,12,7,10,1.0,76.0
138895,Status,2,12,7,9,0.0,227.0
138895,Photo,1,12,7,3,0.0,44.0
138895,Status,2,12,6,11,0.0,216.0
138895,Link,1,12,6,3,1.0,187.0
138353,Photo,1,12,5,10,0.0,26.0
138353,Link,1,12,5,3,1.0,29.0
138353,Photo,1,12,4,11,0.0,47.0
138353,Link,1,12,4,3,1.0,57.0
138353,Status,1,12,3,11,0.0,174.0
138353,Link,1,12,3,2,0.0,18.0
138353,Photo,1,12,2,11,0.0,77.0
138353,Link,1,12,2,2,0.0,12.0
138353,Photo,2,11,1,9,0.0,48.0
138329,Photo,1,11,1,3,1.0,285.0
138329,Photo,1,11,7,9,0.0,202.0
138329,Photo,1,11,7,3,0.0,64.0
138329,Photo,1,11,6,10,0.0,66.0
138329,Video,1,11,6,2,1.0,65.0
138329,Photo,1,11,5,11,0.0,164.0
138329,Photo,1,11,5,3,0.0,40.0
138329,Photo,1,11,4,10,0.0,76.0
138329,Photo,1,11,4,3,1.0,139.0
138185,Photo,1,11,3,11,1.0,101.0
138185,Photo,1,11,3,2,1.0,144.0
138185,Photo,1,11,2,10,1.0,179.0
138185,Photo,1,11,2,3,1.0,219.0
138185,Photo,1,11,1,10,0.0,60.0
138185,Photo,1,11,1,3,0.0,77.0
138185,Photo,1,11,7,11,0.0,48.0
138185,Photo,1,11,7,3,1.0,697.0
138185,Photo,1,11,6,11,0.0,53.0
137893,Photo,1,11,6,3,0.0,84.0
137893,Photo,1,11,5,10,1.0,146.0
137893,Video,1,11,5,3,1.0,449.0
137893,Status,3,11,4,11,0.0,226.0
137893,Photo,1,11,4,2,1.0,172.0
137893,Video,1,11,3,11,0.0,99.0
137893,Photo,1,11,3,2,1.0,411.0
137893,Photo,1,11,3,2,0.0,0.0
137177,Photo,1,11,1,10,0.0,85.0
137177,Photo,2,11,1,3,0.0,56.0
137177,Photo,1,11,7,12,0.0,29.0
137177,Status,2,11,7,3,0.0,86.0
137177,Photo,3,11,6,10,0.0,370.0
137177,Photo,1,11,6,3,0.0,190.0
137177,Photo,3,11,5,10,1.0,101.0
137177,Status,3,11,5,2,0.0,99.0
137177,Photo,1,11,4,9,1.0,140.0
137177,Link,1,11,4,3,0.0,130.0
137177,Photo,3,11,3,10,0.0,270.0
137177,Photo,1,11,3,3,0.0,30.0
137059,Photo,1,11,2,11,1.0,107.0
137059,Photo,1,11,2,3,0.0,331.0
137059,Photo,2,11,1,9,0.0,78.0
137059,Photo,3,11,1,3,0.0,301.0
137059,Photo,3,11,7,9,0.0,111.0
137059,Photo,2,11,7,4,0.0,124.0
137059,Photo,3,10,6,10,0.0,153.0
137059,Photo,1,10,6,3,0.0,51.0
137059,Photo,2,10,5,11,0.0,115.0
137020,Status,2,10,5,3,1.0,310.0
137020,Photo,1,10,4,10,0.0,328.0
137020,Photo,1,10,4,9,1.0,0.0
137020,Photo,2,10,4,3,0.0,1505.0
137020,Photo,3,10,3,10,0.0,63.0
137020,Photo,1,10,3,4,0.0,13.0
137020,Photo,1,10,2,11,1.0,59.0
137020,Photo,1,10,2,4,0.0,955.0
137020,Photo,3,10,1,11,0.0,181.0
136736,Status,2,10,1,4,0.0,193.0
136736,Photo,3,10,7,9,0.0,125.0
136736,Status,2,10,7,3,0.0,217.0
136736,Photo,1,10,6,10,0.0,28.0
136736,Photo,1,10,6,8,0.0,
136736,Photo,2,10,6,4,0.0,117.0
136642,Photo,2,10,1,3,1.0,79.0
136642,Photo,1,10,7,13,0.0,15.0
136642,Photo,1,10,7,12,1.0,4.0
136642,Photo,1,10,7,12,0.0,431.0
136642,Photo,1,10,7,11,0.0,7.0
136642,Photo,1,10,7,10,0.0,7.0
136393,Photo,1,10,7,10,0.0,6.0
136393,Photo,1,10,7,9,0.0,2.0
136393,Status,2,10,7,9,0.0,186.0
136393,Photo,1,10,7,8,0.0,1.0
136393,Photo,1,10,7,7,0.0,3.0
136393,Photo,1,10,7,6,0.0,7.0
136393,Photo,1,10,7,5,0.0,7.0
136393,Photo,3,10,7,3,0.0,198.0
136393,Photo,1,10,6,13,0.0,9.0
136393,Photo,1,10,6,13,0.0,4.0
136393,Photo,1,10,6,12,0.0,3.0
136393,Photo,1,10,6,11,0.0,8.0
136393,Photo,1,10,6,9,0.0,7.0
136393,Photo,1,10,6,9,0.0,7.0
136393,Photo,1,10,6,8,0.0,11.0
136393,Photo,1,10,6,6,0.0,28.0
136393,Photo,1,10,6,2,0.0,56.0
136393,Link,1,10,5,10,0.0,32.0
136013,Photo,1,10,5,8,0.0,32.0
136013,Status,2,10,5,3,0.0,129.0
136013,Photo,1,10,4,10,1.0,77.0
136013,Link,1,10,4,3,0.0,143.0
136013,Status,3,10,3,10,0.0,227.0
136013,Status,2,10,3,2,1.0,859.0
136013,Photo,3,10,2,10,1.0,377.0
136013,Photo,1,10,2,3,1.0,41.0
136013,Photo,1,10,1,10,1.0,76.0
136013,Photo,3,10,1,3,0.0,189.0
135713,Photo,3,10,7,10,0.0,80.0
135713,Status,2,10,7,4,0.0,148.0
135713,Link,1,10,6,11,1.0,24.0
135713,Photo,1,10,6,4,0.0,302.0
135713,Photo,2,10,5,11,0.0,166.0
135713,Photo,2,10,5,4,1.0,358.0
135713,Photo,1,10,4,10,0.0,161.0
135713,Photo,2,10,4,1,0.0,319.0
135700,Photo,2,9,3,7,0.0,54.0
135700,Photo,2,9,2,11,0.0,117.0
135700,Photo,3,9,2,2,0.0,115.0
135700,Photo,2,9,1,10,0.0,187.0
135617,Photo,2,9,1,3,1.0,84.0
135617,Photo,3,9,7,9,0.0,363.0
135617,Photo,2,9,7,3,0.0,244.0
135617,Photo,3,9,6,10,0.0,290.0
135617,Status,2,9,6,4,0.0,243.0
135428,Photo,1,9,5,10,0.0,18.0
135428,Photo,2,9,5,3,1.0,113.0
135428,Photo,1,9,4,10,1.0,77.0
135428,Photo,3,9,4,2,1.0,485.0
135428,Photo,1,9,3,10,0.0,1622.0
135428,Photo,2,9,3,2,1.0,99.0
135195,Photo,3,9,2,9,0.0,188.0
135195,Photo,1,9,2,2,0.0,30.0
135195,Status,2,9,1,10,0.0,163.0
135195,Photo,1,9,1,4,0.0,179.0
135195,Photo,2,9,7,3,0.0,204.0
135195,Status,2,9,6,10,1.0,165.0
135195,Photo,3,9,6,3,1.0,1047.0
135195,Photo,1,9,5,11,0.0,234.0
135195,Photo,2,9,5,2,0.0,250.0
135195,Photo,2,9,4,10,0.0,154.0
134879,Status,2,9,4,4,1.0,150.0
134879,Photo,1,9,3,10,0.0,102.0
134879,Photo,3,9,3,2,1.0,226.0
134879,Video,1,9,2,10,0.0,345.0
134879,Photo,2,9,2,3,0.0,68.0
134879,Photo,1,9,1,10,0.0,62.0
134879,Photo,2,9,1,6,0.0,223.0
134879,Photo,2,9,7,10,0.0,61.0
134879,Photo,3,9,7,4,1.0,104.0
133679,Photo,2,9,2,10,0.0,146.0
133679,Photo,3,9,2,3,1.0,102.0
133679,Photo,3,8,1,10,0.0,766.0
133679,Photo,2,8,1,4,0.0,63.0
133594,Photo,2,8,7,10,1.0,113.0
133594,Photo,1,8,7,3,0.0,442.0
133594,Photo,2,8,6,10,0.0,278.0
133594,Photo,1,8,6,8,0.0,64.0
133594,Photo,2,8,5,13,0.0,52.0
133451,Photo,1,8,4,9,1.0,30.0
132817,Photo,3,8,4,10,0.0,1155.0
132817,Photo,2,8,4,3,1.0,139.0
132817,Photo,1,8,3,9,0.0,40.0
132817,Status,2,8,3,2,1.0,53.0
132817,Photo,3,8,2,10,0.0,220.0
132817,Photo,3,8,2,3,0.0,114.0
132201,Photo,1,8,1,12,1.0,39.0
132201,Photo,1,8,1,3,0.0,859.0
132201,Photo,2,8,7,10,0.0,137.0
132201,Photo,3,8,7,3,0.0,54.0
132201,Photo,2,8,6,10,1.0,74.0
132201,Photo,3,8,6,3,1.0,98.0
132201,Photo,3,8,5,10,0.0,264.0
132201,Photo,2,8,5,1,0.0,36.0
132201,Photo,3,8,4,11,1.0,11.0
132201,Photo,3,8,4,3,1.0,435.0
131956,Photo,1,8,3,10,0.0,114.0
131956,Photo,2,8,3,4,0.0,17.0
131956,Status,2,8,2,12,0.0,15.0
131956,Photo,1,8,2,7,0.0,87.0
131956,Photo,3,8,1,12,0.0,227.0
131956,Photo,2,8,1,4,0.0,86.0
131956,Photo,3,8,7,10,0.0,179.0
131808,Status,2,8,7,4,0.0,74.0
131808,Status,2,8,6,10,1.0,332.0
131808,Photo,1,8,6,6,0.0,80.0
131808,Status,2,7,5,14,0.0,95.0
131728,Photo,3,7,5,8,1.0,188.0
131728,Photo,1,7,4,10,1.0,109.0
131728,Photo,2,7,4,3,0.0,367.0
131630,Photo,2,7,3,13,0.0,102.0
131630,Photo,3,7,2,23,0.0,113.0
131630,Photo,3,7,2,13,0.0,94.0
131630,Status,2,7,2,6,1.0,14.0
131630,Photo,1,7,1,11,0.0,43.0
131630,Photo,2,7,1,5,0.0,98.0
131300,Status,2,7,7,10,0.0,13.0
131300,Photo,3,7,7,4,0.0,237.0
131300,Photo,2,7,6,10,0.0,112.0
131300,Photo,1,7,6,2,0.0,101.0
130791,Photo,2,7,5,11,1.0,145.0
130791,Photo,3,7,5,3,0.0,535.0
130791,Photo,1,7,4,11,0.0,118.0
130791,Status,2,7,4,6,0.0,484.0
130791,Video,1,7,3,11,1.0,315.0
130791,Photo,2,7,3,5,1.0,5172.0
130791,Photo,1,7,2,13,0.0,154.0
130791,Photo,2,7,2,8,0.0,73.0
129600,Photo,2,7,1,12,0.0,96.0
129600,Photo,3,7,1,6,0.0,98.0
129600,Photo,2,7,7,11,1.0,53.0
129600,Photo,1,7,7,6,1.0,71.0
129600,Photo,1,7,6,11,0.0,194.0
129600,Photo,3,7,6,5,0.0,226.0
129600,Status,2,7,5,12,1.0,238.0
129600,Photo,3,7,5,3,0.0,755.0
129600,Photo,2,7,4,12,1.0,47.0
129600,Photo,1,7,4,6,1.0,126.0
129600,Photo,1,7,3,13,1.0,104.0
129600,Photo,2,7,3,1,0.0,167.0
129600,Photo,3,7,2,13,0.0,152.0
129600,Photo,2,7,2,7,1.0,128.0
129600,Photo,1,7,1,13,0.0,234.0
128032,Photo,2,7,1,3,0.0,61.0
128032,Photo,2,7,7,11,1.0,66.0
128032,Photo,3,7,7,3,0.0,529.0
128032,Photo,3,7,6,13,1.0,42.0
128032,Photo,1,7,6,3,0.0,75.0
128032,Status,2,7,5,10,0.0,61.0
128032,Photo,1,7,5,3,0.0,162.0
128032,Photo,1,7,4,9,1.0,47.0
128032,Photo,2,7,4,5,1.0,696.0
128032,Photo,1,7,3,10,1.0,215.0
127082,Photo,1,7,3,3,1.0,534.0
126424,Photo,3,7,4,12,0.0,143.0
126424,Photo,2,7,4,3,0.0,46.0
126424,Status,2,7,3,13,0.0,98.0
126424,Photo,3,7,3,4,1.0,25.0
126424,Video,1,6,2,13,0.0,204.0
126345,Photo,1,6,2,9,1.0,202.0
126345,Photo,1,6,2,3,0.0,148.0
126345,Photo,2,6,1,12,0.0,40.0
126345,Photo,2,6,1,4,0.0,71.0
126345,Status,2,6,7,11,0.0,104.0
126141,Photo,1,6,7,4,1.0,34.0
126141,Photo,1,6,6,12,0.0,129.0
126141,Status,2,6,6,4,0.0,72.0
126141,Photo,1,6,5,11,1.0,15.0
126141,Photo,1,6,4,22,1.0,102.0
126141,Photo,1,6,4,12,0.0,469.0
125612,Photo,1,6,4,11,0.0,57.0
125612,Photo,1,6,4,7,0.0,23.0
125612,Photo,2,6,4,3,0.0,141.0
125612,Photo,1,6,3,11,0.0,19.0
125612,Photo,2,6,3,3,0.0,71.0
125612,Photo,1,6,2,13,0.0,72.0
125612,Photo,1,6,2,2,0.0,54.0
125612,Photo,3,6,1,14,0.0,93.0
125612,Photo,3,6,1,3,0.0,62.0
125612,Photo,2,6,7,11,0.0,78.0
124940,Photo,1,6,7,4,0.0,14.0
124940,Photo,2,6,6,9,0.0,231.0
124940,Photo,3,6,6,2,1.0,72.0
124940,Photo,1,6,5,13,1.0,197.0
124940,Photo,3,6,5,3,1.0,330.0
124940,Photo,1,6,4,12,0.0,148.0
124940,Photo,3,6,4,2,0.0,208.0
124940,Photo,2,6,3,13,0.0,148.0
124940,Photo,3,6,3,3,1.0,154.0
124940,Photo,3,6,2,13,0.0,142.0
124940,Photo,3,6,2,3,0.0,107.0
124940,Photo,1,6,1,13,0.0,22.0
124940,Photo,3,6,1,3,0.0,84.0
124940,Photo,3,6,7,10,0.0,59.0
124940,Photo,3,6,7,3,1.0,65.0
124940,Photo,1,6,6,12,1.0,24.0
124940,Photo,3,6,6,4,0.0,186.0
123047,Photo,3,6,5,12,0.0,58.0
123047,Photo,2,6,5,3,0.0,74.0
123047,Photo,3,6,4,13,0.0,180.0
123047,Photo,2,6,4,5,1.0,168.0
123047,Photo,1,6,3,11,0.0,36.0
123047,Photo,3,6,2,13,0.0,51.0
123047,Photo,3,6,2,5,1.0,67.0
123047,Photo,3,6,1,10,0.0,1372.0
123047,Photo,3,6,1,3,1.0,57.0
121540,Photo,3,6,1,3,0.0,33.0
121540,Photo,2,5,7,14,0.0,79.0
120050,Photo,3,5,5,9,1.0,97.0
120050,Photo,3,5,4,12,0.0,617.0
120050,Photo,3,5,4,4,1.0,139.0
120050,Photo,3,5,3,12,0.0,199.0
119198,Photo,3,5,3,5,0.0,107.0
119198,Photo,3,5,2,12,0.0,50.0
119198,Photo,3,5,2,1,0.0,64.0
119198,Status,2,5,1,2,0.0,55.0
119198,Photo,2,5,7,2,0.0,142.0
119198,Photo,3,5,6,14,0.0,72.0
119198,Photo,3,5,6,6,0.0,79.0
119198,Photo,3,5,5,10,1.0,244.0
117764,Photo,1,5,4,10,0.0,307.0
117764,Photo,3,5,4,4,0.0,212.0
117764,Photo,3,5,3,11,0.0,95.0
117764,Photo,2,5,2,11,0.0,194.0
117764,Photo,3,5,1,13,1.0,101.0
117764,Link,1,5,1,2,0.0,46.0
117764,Photo,3,5,7,13,1.0,156.0
117764,Photo,3,5,7,2,0.0,821.0
117764,Photo,3,5,6,13,0.0,58.0
117764,Photo,3,5,6,8,1.0,155.0
117764,Photo,3,5,5,13,0.0,1639.0
116435,Photo,2,5,5,9,0.0,155.0
116435,Photo,3,5,4,13,1.0,166.0
116435,Status,1,5,4,3,1.0,210.0
116435,Photo,3,5,3,7,0.0,400.0
116435,Photo,2,5,2,14,0.0,98.0
116435,Photo,1,5,2,8,0.0,138.0
116435,Photo,3,5,1,13,0.0,148.0
116091,Photo,2,5,1,3,0.0,267.0
116091,Photo,2,5,7,14,0.0,144.0
116091,Photo,3,5,7,2,0.0,256.0
116091,Photo,1,5,6,9,0.0,72.0
116091,Photo,3,5,6,3,0.0,87.0
116091,Status,2,5,5,7,0.0,129.0
115893,Photo,3,4,4,15,1.0,179.0
115893,Photo,1,4,3,13,0.0,194.0
115368,Photo,3,4,3,8,0.0,124.0
115368,Photo,3,4,2,13,0.0,304.0
115368,Photo,3,4,2,2,1.0,138.0
115368,Photo,1,4,1,2,0.0,41.0
113028,Photo,2,4,7,3,1.0,163.0
113028,Photo,1,4,6,14,0.0,407.0
113028,Status,2,4,6,3,1.0,447.0
113028,Link,1,4,5,7,1.0,38.0
113028,Photo,1,4,5,5,0.0,93.0
113028,Photo,1,4,4,12,1.0,59.0
111620,Photo,3,4,4,7,1.0,286.0
111620,Photo,3,4,3,7,0.0,66.0
111620,Photo,3,4,2,13,1.0,236.0
111620,Photo,1,4,2,6,1.0,152.0
111620,Photo,3,4,1,14,1.0,1998.0
111620,Photo,1,4,7,14,0.0,186.0
109670,Photo,3,4,6,20,0.0,235.0
109670,Photo,1,4,6,13,0.0,64.0
109670,Photo,3,4,6,3,0.0,92.0
109670,Photo,1,4,5,13,0.0,53.0
109670,Photo,3,4,5,7,1.0,140.0
109670,Photo,1,4,4,3,0.0,48.0
109670,Photo,1,4,3,13,1.0,112.0
109670,Photo,1,4,3,8,0.0,35.0
109670,Photo,1,4,2,13,0.0,37.0
109670,Photo,3,4,2,2,1.0,48.0
109670,Photo,2,4,1,13,1.0,766.0
109670,Photo,1,4,1,2,0.0,96.0
109670,Photo,3,4,7,14,0.0,57.0
107907,Photo,3,4,7,13,0.0,114.0
107907,Photo,1,4,6,9,0.0,51.0
107907,Photo,3,4,6,3,1.0,87.0
107907,Photo,1,4,5,9,0.0,81.0
107907,Photo,3,4,5,3,0.0,71.0
107907,Photo,3,4,4,13,0.0,164.0
107907,Photo,3,4,4,5,1.0,91.0
107907,Photo,1,4,3,13,1.0,329.0
107907,Photo,1,4,3,4,1.0,128.0
107907,Link,1,4,2,6,0.0,379.0
107907,Photo,3,4,1,3,0.0,52.0
107907,Photo,3,4,7,10,0.0,63.0
107907,Photo,3,4,7,3,0.0,97.0
106928,Photo,3,4,6,9,1.0,56.0
106928,Link,1,4,6,4,0.0,36.0
106928,Photo,2,4,5,13,0.0,138.0
106928,Photo,2,4,5,3,0.0,142.0
106928,Photo,3,4,4,13,0.0,75.0
106928,Photo,1,4,4,3,1.0,89.0
104070,Photo,1,3,5,14,1.0,63.0
104070,Photo,1,3,4,14,1.0,176.0
104070,Photo,1,3,4,7,0.0,227.0
104070,Status,1,3,3,15,0.0,25.0
104070,Photo,1,3,3,10,0.0,0.0
102112,Photo,1,3,3,10,0.0,27.0
102112,Photo,1,3,3,4,0.0,39.0
102112,Photo,1,3,2,12,0.0,61.0
102112,Photo,1,3,2,3,0.0,32.0
102112,Photo,1,3,1,19,0.0,2.0
102112,Photo,1,3,1,18,0.0,109.0
102112,Photo,1,3,1,18,0.0,32.0
102112,Link,3,3,1,3,0.0,68.0
100732,Photo,1,3,7,18,0.0,6.0
100732,Photo,1,3,7,17,0.0,213.0
100732,Photo,1,3,7,15,0.0,2.0
100732,Photo,1,3,7,15,0.0,3.0
100732,Link,1,3,7,14,0.0,6.0
100732,Photo,1,3,7,12,0.0,4.0
100732,Photo,1,3,6,17,0.0,4.0
100732,Photo,1,3,6,17,0.0,211.0
100732,Photo,1,3,6,15,0.0,15.0
100732,Photo,1,3,6,15,0.0,95.0
100732,Photo,1,3,6,13,1.0,127.0
100732,Photo,1,3,6,10,0.0,136.0
98195,Link,2,3,6,6,0.0,32.0
98195,Photo,1,3,6,3,0.0,76.0
98195,Photo,1,3,5,10,0.0,28.0
98195,Photo,1,3,5,4,1.0,0.0
98195,Photo,3,3,4,13,0.0,664.0
96749,Photo,3,3,2,9,0.0,62.0
96749,Photo,2,3,2,5,0.0,48.0
96749,Photo,1,3,1,13,1.0,55.0
96749,Photo,1,3,1,2,1.0,197.0
96749,Photo,1,3,7,10,1.0,88.0
96749,Photo,1,3,7,5,1.0,59.0
93684,Photo,1,2,6,13,1.0,234.0
93577,Photo,1,2,6,6,0.0,148.0
93470,Photo,1,2,5,12,0.0,96.0
93363,Photo,1,2,5,6,0.0,49.0
93256,Photo,3,2,4,12,0.0,98.0
93149,Photo,3,2,4,3,0.0,198.0
93042,Photo,3,2,3,13,0.0,159.0
92935,Photo,1,2,3,9,1.0,22.0
92828,Photo,1,2,3,6,0.0,154.0
92721,Photo,3,2,2,13,0.0,128.0
92614,Photo,2,2,2,3,1.0,129.0
92507,Photo,3,2,1,13,0.0,1546.0
92400,Photo,1,2,1,4,0.0,79.0
92293,Photo,3,2,7,13,1.0,214.0
92186,Photo,3,2,7,2,1.0,134.0
92079,Photo,1,2,6,13,0.0,268.0
91972,Photo,3,2,6,3,0.0,128.0
91865,Photo,2,2,5,13,1.0,47.0
91758,Photo,2,2,5,3,1.0,200.0
91651,Photo,1,2,4,12,0.0,264.0
91544,Photo,3,2,4,3,0.0,193.0
91437,Link,1,2,3,13,0.0,114.0
91330,Photo,3,2,3,3,0.0,160.0
91223,Photo,1,2,2,13,0.0,46.0
91116,Photo,3,2,2,4,1.0,136.0
91009,Photo,1,2,1,12,0.0,73.0
86909,Photo,3,1,6,16,1.0,65.0
86909,Photo,1,1,6,10,1.0,579.0
86909,Link,1,1,6,4,0.0,101.0
86909,Photo,3,1,5,13,0.0,74.0
86909,Photo,3,1,5,4,0.0,84.0
86909,Photo,2,1,4,11,0.0,360.0
86491,Link,1,1,4,4,1.0,5.0
86491,Photo,3,1,3,10,0.0,187.0
86491,Photo,2,1,3,3,0.0,69.0
86491,Photo,3,1,2,7,0.0,82.0
86491,Link,1,1,2,2,0.0,12.0
85979,Photo,3,1,1,12,0.0,56.0
85979,Photo,3,1,1,2,0.0,44.0
85979,Photo,3,1,7,10,0.0,277.0
85979,Photo,3,1,7,2,0.0,74.0
85979,Photo,3,1,6,11,0.0,79.0
85979,Photo,3,1,6,3,1.0,105.0
85979,Link,1,1,5,11,0.0,128.0
85093,Photo,3,1,1,2,0.0,185.0
85093,Photo,3,1,7,10,0.0,125.0
85093,Photo,3,1,7,2,0.0,53.0
81370,Photo,2,1,5,8,0.0,53.0
81370,Photo,1,1,5,2,0.0,93.0
81370,Photo,3,1,4,11,0.0,91.0
81370,Photo,2,1,4,4,,91.0
